134 | Open: 1 | Close: 0 | Depth: 3
135 | Open: 0 | Close: 0 | Depth: 3
136 | Open: 0 | Close: 0 | Depth: 3
137 | Open: 1 | Close: 0 | Depth: 4
138 | Open: 1 | Close: 0 | Depth: 5
139 | Open: 1 | Close: 0 | Depth: 6
140 | Open: 0 | Close: 0 | Depth: 6
141 | Open: 0 | Close: 0 | Depth: 6
142 | Open: 0 | Close: 1 | Depth: 5
143 | Open: 1 | Close: 0 | Depth: 6
144 | Open: 0 | Close: 0 | Depth: 6
145 | Open: 0 | Close: 0 | Depth: 6
146 | Open: 0 | Close: 1 | Depth: 5
147 | Open: 1 | Close: 0 | Depth: 6
148 | Open: 0 | Close: 0 | Depth: 6
149 | Open: 0 | Close: 0 | Depth: 6
150 | Open: 0 | Close: 1 | Depth: 5
151 | Open: 1 | Close: 0 | Depth: 6
152 | Open: 0 | Close: 0 | Depth: 6
153 | Open: 0 | Close: 0 | Depth: 6
154 | Open: 0 | Close: 1 | Depth: 5
155 | Open: 0 | Close: 1 | Depth: 4
156 | Open: 1 | Close: 0 | Depth: 5
157 | Open: 1 | Close: 0 | Depth: 6
158 | Open: 0 | Close: 0 | Depth: 6
159 | Open: 0 | Close: 0 | Depth: 6
160 | Open: 0 | Close: 0 | Depth: 6
161 | Open: 0 | Close: 1 | Depth: 5
162 | Open: 1 | Close: 0 | Depth: 6
163 | Open: 0 | Close: 0 | Depth: 6
164 | Open: 0 | Close: 0 | Depth: 6
165 | Open: 0 | Close: 1 | Depth: 5
166 | Open: 1 | Close: 0 | Depth: 6
167 | Open: 0 | Close: 0 | Depth: 6
168 | Open: 0 | Close: 0 | Depth: 6
169 | Open: 0 | Close: 1 | Depth: 5
170 | Open: 0 | Close: 0 | Depth: 5
171 | Open: 0 | Close: 1 | Depth: 4
172 | Open: 0 | Close: 1 | Depth: 3
173 | Open: 0 | Close: 0 | Depth: 3
174 | Open: 1 | Close: 1 | Depth: 3
175 | Open: 0 | Close: 0 | Depth: 3
176 | Open: 1 | Close: 0 | Depth: 4
177 | Open: 1 | Close: 0 | Depth: 5
178 | Open: 1 | Close: 1 | Depth: 5
179 | Open: 1 | Close: 1 | Depth: 5
180 | Open: 1 | Close: 1 | Depth: 5
181 | Open: 1 | Close: 1 | Depth: 5
182 | Open: 1 | Close: 1 | Depth: 5
183 | Open: 1 | Close: 1 | Depth: 5
184 | Open: 0 | Close: 1 | Depth: 4
185 | Open: 0 | Close: 0 | Depth: 4
186 | Open: 0 | Close: 0 | Depth: 4
187 | Open: 0 | Close: 0 | Depth: 4
188 | Open: 0 | Close: 0 | Depth: 4
189 | Open: 0 | Close: 0 | Depth: 4
190 | Open: 0 | Close: 0 | Depth: 4
191 | Open: 1 | Close: 0 | Depth: 5
192 | Open: 1 | Close: 1 | Depth: 5
193 | Open: 1 | Close: 1 | Depth: 5
194 | Open: 1 | Close: 0 | Depth: 6
195 | Open: 0 | Close: 0 | Depth: 6
196 | Open: 0 | Close: 0 | Depth: 6
197 | Open: 0 | Close: 1 | Depth: 5
198 | Open: 1 | Close: 1 | Depth: 5
199 | Open: 1 | Close: 1 | Depth: 5
200 | Open: 1 | Close: 1 | Depth: 5
201 | Open: 1 | Close: 1 | Depth: 5
202 | Open: 1 | Close: 0 | Depth: 6
203 | Open: 0 | Close: 0 | Depth: 6
204 | Open: 0 | Close: 0 | Depth: 6
205 | Open: 0 | Close: 1 | Depth: 5
206 | Open: 0 | Close: 1 | Depth: 4
